CRUISE6,CRUISE,STRATUM,TOW,STATION,STATUS_CODE,ID,SVSPP,CATCHSEX,INDID,LENGTH,INDWT,SEX,MATURITY,AGE,AGE_DATA_FLAG,STOM_VOLUME,STOM_WGT,CUTTER,RECORDER,IND_FISH_COMMENTS
197906,979,06300,003,0037,10,197906063000030037,401,,,12.7,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,12.1,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,12.7,,0,,7, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.8,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.7,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.5,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.4,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.1,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.9,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.5,,0,,4, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.4,,0,,4, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.4,,0,,4, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.2,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,1.14,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,10.4,,0,,4, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,11.4,,0,,5, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,12.1,,0,,6, ,,, , , 
197906,979,06300,001,0039,10,197906063000010039,401,,,12,,0,,6, ,,, , , 
197906,979,06310,015,0040,10,197906063100150040,401,,,8,,0,,3, ,,, , , 
197906,979,06310,015,0040,10,197906063100150040,401,,,8.4,,0,,3, ,,, , , 
197906,979,06310,015,0040,10,197906063100150040,401,,,10.8,,0,,6, ,,, , , 
197906,979,06310,015,0040,10,197906063100150040,401,,,10.7,,0,,6, ,,, , , 
197906,979,06310,015,0040,10,197906063100150040,401,,,8.7,,0,,3, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,7.6,,0,,3, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,7.8,,0,,3, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.2,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.7,,0,,6, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,1.06,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,6.1,,0,,2, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,7.8,,0,,3, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,8.3,,0,,3, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,10.4,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,10.6,,0,,4, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,10.8,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.1,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.1,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.2,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.4,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.5,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.5,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,11.6,,0,,5, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,12,,0,,6, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,12.3,,0,,6, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,12.9,,0,,7, ,,, , , 
197906,979,06310,005,0041,10,197906063100050041,401,,,9.4,,0,,4, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,6.6,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,14.1,,0,,9, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,6.8,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,6.9,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,6.9,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.1,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.3,,0,,2, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.4,,0,,3, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.5,,0,,3, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.5,,0,,3, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,7.9,,0,,3, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,8.1,,0,,3, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,8.8,,0,,4, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,8.9,,0,,4, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,11.8,,0,,7, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,9.2,,0,,4, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,10,,0,,5, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,10.2,,0,,5, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,10.6,,0,,5, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,10.7,,0,,5, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,10.8,,0,,5, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,11,,0,,6, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,11,,0,,6, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,11,,0,,6, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,11.4,,0,,7, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,12.4,,0,,7, ,,, , , 
197906,979,06270,007,0042,10,197906062700070042,401,,,6.7,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,8.6,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.9,,0,,5, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.5,,0,,5, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,7.2,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,7.3,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,7.6,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,8.1,,0,,2, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,9.2,,0,,3, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,9.4,,0,,3, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,10.9,,0,,4, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.1,,0,,4, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.1,,0,,4, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.2,,0,,4, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,11.9,,0,,5, ,,, , , 
197906,979,06270,003,0043,10,197906062700030043,401,,,10.9,,0,,4, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11.5,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11.8,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,11.9,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,12.2,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,12.2,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,12.8,,0,,6, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,12.8,,0,,6, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,1.12,,0,,5, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,6.3,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,6.7,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,7.2,,0,,2, ,,, , , 
197906,979,06270,006,0044,10,197906062700060044,401,,,7.2,,0,,2, ,,, , , 
